wavelength_obs_A	wavelength_ritz_A	fik	gi	aki_s-1	nist_grade	ref_transition_probability	ref_line	ei_ek_raw	ei_eV	log_gf	nist_acc_pct	wavelength_A
5514.8	5514.8		5.0				L2138	8.850662829  -    11.09825	8.850662829			5514.8
5515.691	5515.694		5.0				L17684	8.850662829  -    11.097883	8.850662829			5515.691
5516.643	5516.659		5.0				L17684	8.643023685  -    10.889851	8.643023685			5516.643
5523.5	5523.539		1.0				L2138	8.84658790   -    11.090616	8.8465879			5523.5
5526.833	5526.834		7.0				L17684	8.647160399  -    10.889851	8.647160399			5526.833
5529.781	5529.756		5.0				L17684	8.643023685  -    10.884529	8.643023685			5529.781
5532.04	5532.27		5.0				L2138c153	8.850662829  -    11.091149	8.850662829			5532.04
	5534.253	9e-05	3.0	12000.0	D	T5520LS		8.64039604   -    10.880080	8.64039604	-3.5686362358410126	50.0	5534.253
5534.807	5534.818		5.0				L17684	8.643023685  -    10.882479	8.643023685			5534.807
5540.756	5540.753	0.0008	5.0	180000.0	D	T5520LS	L17684	8.643023685  -    10.880080	8.643023685	-2.3979400086720375	50.0	5540.756
5543.817	5543.81		7.0				L17684	8.647160399  -    10.882983	8.647160399			5543.817
5545.07	5545.052	0.0014	3.0	300000.0	D	T5520LS	L17684	8.64039604   -    10.8757182	8.64039604	-2.3767507096020997	50.0	5545.07
5545.07	5545.061		7.0				L17684	8.647160399  -    10.882479	8.647160399			5545.07
5547.271	5547.265	0.0019	3.0	1200000.0	D	T5520LS	L17684	8.64039604   -    10.874826	8.64039604	-2.2441251443275085	50.0	5547.271
5548.239	5548.241		3.0				L17684	8.64039604   -    10.874433	8.64039604			5548.239
5548.902	5548.903		7.0				L17684	8.647160399  -    10.880931	8.647160399			5548.902
5551.032	5551.018	0.0034	7.0	1000000.0	D	T5520LS	L17684	8.647160399  -    10.880080	8.647160399	-1.6234230429434882	50.0	5551.032
5551.589	5551.578	0.0025	5.0	900000.0	D	T5520LS	L17684	8.643023685  -    10.8757182	8.643023685	-1.9030899869919435	50.0	5551.589
5553.174	5553.17		5.0				L17684	8.643023685  -    10.875078	8.643023685			5553.174
5577.3	5577.849		5.0				L2138c153	8.643023685  -    10.865203	8.643023685			5577.3
5597.3	5597.303		3.0				L17684	8.771134696  -    10.985590	8.771134696			5597.3
5603.733	5603.729	0.0013	3.0	160000.0	D	T5520LS	L17684	8.771134696  -    10.983051	8.771134696	-2.408935392973501	50.0	5603.733
5612.4	5612.573		1.0				L2138	8.84658790   -    11.055019	8.8465879			5612.4
5614.809	5614.802	0.0008	3.0	160000.0	D	T5520LS	L17684	8.771134696  -    10.9786886	8.771134696	-2.619788758288394	50.0	5614.809
5616.49	5616.479	0.00025	3.0	160000.0	D	T5520LS	L17684	8.771134696  -    10.978030	8.771134696	-3.1249387366083	50.0	5616.49
5623.04	5622.948		5.0				L2138	8.850662829  -    11.055019	8.850662829			5623.04
5625.56	5625.805		5.0				L2138c153	8.850662829  -    11.053899	8.850662829			5625.56
5629.93	5629.934		5.0				L17684	8.850662829  -    11.052284	8.850662829			5629.93
5642.77	5642.825		3.0				L2138	8.848124381  -    11.044716	8.848124381			5642.77
5648.1	5648.156		5.0				L2138	8.850662829  -    11.045181	8.850662829			5648.1
5668.951	5668.94	0.011	3.0	2400000.0	C	T5520	L17684	8.53709962   -    10.7235720	8.53709962	-1.4814860601221125	25.0	5668.951
5693.11	5693.109		3.0				L17684	8.53709962   -    10.7142898	8.53709962			5693.11
5720.779	5720.776		3.0				L17684	8.53709962   -    10.7037605	8.53709962			5720.779
	5769.1131		3.0				L17684	8.53709962   -    10.68560706	8.53709962			5769.1131
	5780.63	0.0007	1.0	45000.0	D	T5520LS		8.84658790   -    10.99081	8.8465879	-3.154901959985743	50.0	5780.63
	5784.3	0.00023	3.0	140000.0	D	T5520LS		8.848124381  -    10.99100	8.848124381	-3.161150909262745	50.0	5784.3
	5784.78	0.00017	3.0	34000.0	D	T5520LS		8.848124381  -    10.99081	8.848124381	-3.2924298239020637	50.0	5784.78
	5787.39	0.00028	3.0	34000.0	D	T5520LS		8.848124381  -    10.98985	8.848124381	-3.0757207139381184	50.0	5787.39
5787.84	5787.424		3.0				L2138	8.848124381  -    10.989834	8.848124381			5787.84
	5791.64	0.00017	5.0	60000.0	D	T5520LS		8.850662829  -    10.99081	8.850662829	-3.070581074285707	50.0	5791.64
