wavelength_air_A,model_flux
8.678265999999783162e+03,9.989718947228256596e-01
8.678267999999781750e+03,9.989693057918576091e-01
8.678269999999782158e+03,9.989665783808207022e-01
8.678271999999780746e+03,9.989637130640900420e-01
8.678273999999781154e+03,9.989607103195967674e-01
8.678275999999779742e+03,9.989575705134770001e-01
8.678277999999780150e+03,9.989542938926589954e-01
8.678279999999778738e+03,9.989508805843785311e-01
8.678281999999779146e+03,9.989473305961898975e-01
8.678283999999777734e+03,9.989436438068389768e-01
8.678285999999778142e+03,9.989398199448616955e-01
8.678287999999776730e+03,9.989358585626849640e-01
8.678289999999777137e+03,9.989317590184434437e-01
8.678291999999775726e+03,9.989275204686601795e-01
8.678293999999776133e+03,9.989231418644569649e-01
8.678295999999774722e+03,9.989186219438627168e-01
8.678297999999775129e+03,9.989139592172442406e-01
8.678299999999773718e+03,9.989091519472819147e-01
8.678301999999774125e+03,9.989041981286375105e-01
8.678303999999772714e+03,9.988990954753356188e-01
8.678305999999773121e+03,9.988938414221278927e-01
8.678307999999771710e+03,9.988884331339379363e-01
8.678309999999772117e+03,9.988828675081179442e-01
8.678311999999770705e+03,9.988771411614206786e-01
8.678313999999771113e+03,9.988712504082654098e-01
8.678315999999769701e+03,9.988651912445883907e-01
8.678317999999770109e+03,9.988589593451600024e-01
8.678319999999768697e+03,9.988525500728770989e-01
8.678321999999769105e+03,9.988459584954146875e-01
8.678323999999767693e+03,9.988391794012542180e-01
8.678325999999768101e+03,9.988322073064080930e-01
8.678327999999766689e+03,9.988250364517579083e-01
8.678329999999767097e+03,9.988176608025823855e-01
8.678331999999765685e+03,9.988100740646721487e-01
8.678333999999766093e+03,9.988022697167663333e-01
8.678335999999764681e+03,9.987942410446570829e-01
8.678337999999765088e+03,9.987859811655275255e-01
8.678339999999763677e+03,9.987774830416851213e-01
8.678341999999764084e+03,9.987687394910705896e-01
8.678343999999762673e+03,9.987597432050439039e-01
8.678345999999763080e+03,9.987504867848058243e-01
8.678347999999761669e+03,9.987409628027122954e-01
8.678349999999762076e+03,9.987311638746770859e-01
8.678351999999760665e+03,9.987210827160117876e-01
8.678353999999761072e+03,9.987107121680260935e-01
8.678355999999759661e+03,9.987000452111768345e-01
8.678357999999760068e+03,9.986890749932314515e-01
8.678359999999758656e+03,9.986777948838015950e-01
8.678361999999759064e+03,9.986661985448254120e-01
8.678363999999757652e+03,9.986542800028008759e-01
8.678365999999758060e+03,9.986420337111483470e-01
8.678367999999756648e+03,9.986294545957274948e-01
8.678369999999757056e+03,9.986165380882083831e-01
8.678371999999755644e+03,9.986032801661153258e-01
8.678373999999756052e+03,9.985896774189215730e-01
8.678375999999754640e+03,9.985757271334011476e-01
8.678377999999755048e+03,9.985614273683482978e-01
8.678379999999753636e+03,9.985467769988880526e-01
8.678381999999754044e+03,9.985317757370522074e-01
8.678383999999752632e+03,9.985164241506008231e-01
8.678385999999753039e+03,9.985007236953846732e-01
8.678387999999751628e+03,9.984846767653688948e-01
8.678389999999752035e+03,9.984682867579836030e-01
