element,ion,wavelength_air_A,instrument,instrument_provenance,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5491.8315,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),9.47,8.09,voigt,0.004,False,
Ti,II,5492.88119,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),114.03,51.2,voigt,0.003,False,
Mn,I,5495.00762,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),23.44,6.0,voigt,0.004,False,
Fe,I,5497.51568,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),152.64,17.79,voigt,0.0086,False,
Fe,I,5503.07087,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.93,16.48,voigt,0.0161,False,
Fe,I,5506.77845,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),151.63,7.81,voigt,0.006,False,
Cr,I,5507.44131,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),206.26,99.34,voigt,0.0168,False,
Fe,I,5512.2567,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),250.79,49.47,voigt,0.0081,False,
Fe,I,5513.86524,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),167.65,82.53,voigt,0.0177,False,
Si,I,5517.53317,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),111.88,21.77,voigt,0.0021,False,
Fe,I,5520.9273,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),80.29,84.95,voigt,0.0036,False,
Fe,I,5532.74616,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),64.67,5.69,voigt,0.0011,False,
Fe,I,5534.65905,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),75.57,10.01,voigt,0.0107,False,
Fe,I,5545.70271,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),100.59,117.36,voigt,0.0089,False,
Fe,I,5546.72456,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),69.08,3.11,voigt,0.0012,False,
Fe,I,5549.65096,harps,direct: June HARPS lines_fit output (RYA-396 vendoring),29.35,4.24,voigt,0.0002,False,
