separation_A,depth_ratio,noise,catalogue_error_A,realisation,true_ew_A,ew_two_A,ew_one_A,err_two,err_one,interloper_depth,chi2_two,chi2_one
0.02,0.1,0.002,0.0,4,0.03871518746591226,0.03209925198365364,0.04261477062612698,0.17088734203040556,0.10072489416842437,0.08285771869423364,3.878099451872095e-06,3.895154949292341e-06
0.02,0.1,0.002,0.0,5,0.03871518746591226,0.022348696594911954,0.04243617775575407,0.42274084002332635,0.09611190164371665,0.16723592131828413,3.94493373046334e-06,3.9924491883019285e-06
0.02,0.1,0.002,0.0,6,0.03871518746591226,0.04246999699596406,0.04260065151329029,0.09698544100704183,0.10036020233142569,0.0010043626764877575,3.7999108215973264e-06,3.7899878119926337e-06
0.02,0.1,0.002,0.0,7,0.03871518746591226,0.03909726845431888,0.04252459728703291,0.009869020749106096,0.09839574777920782,0.02650709433357609,3.64756815476798e-06,3.6413095972472906e-06
0.02,0.1,0.002,0.0,8,0.03871518746591226,0.02260167869054655,0.04240509999365613,0.41620639935046794,0.09530917371878278,0.16429334724884057,3.3478678267296695e-06,3.3866519527839268e-06
0.02,0.1,0.002,0.0,9,0.03871518746591226,0.04245790244167366,0.04258773070110096,0.09667304282219398,0.1000264621887309,0.0010005779060326355,3.985027679171664e-06,3.974722502192297e-06
0.02,0.1,0.002,0.0,10,0.03871518746591226,0.03832311436901758,0.042777456097054634,0.010127113480720968,0.10492700402701395,0.03447498574497103,3.945344034503446e-06,3.939973098878147e-06
0.02,0.1,0.002,0.0,11,0.03871518746591226,0.04239208119188223,0.04252191658441054,0.09497290253876167,0.0983265061508487,0.0010003004383759458,4.050615761027516e-06,4.040253172744066e-06
0.02,0.1,0.002,0.01,0,0.03871518746591226,0.042092263783899166,0.042808437027780005,0.08722872182810266,0.10572723083083996,0.005471546922637555,3.91110528665141e-06,3.9028059213201945e-06
0.02,0.1,0.002,0.01,1,0.03871518746591226,0.04098354918888456,0.04254001413914523,0.05859100449841651,0.09879395977613788,0.012001215080566133,3.958163707222756e-06,3.955771580438952e-06
0.02,0.1,0.002,0.01,2,0.03871518746591226,0.039908607930964485,0.0425468837827615,0.03082564087034327,0.09897140031216316,0.020483304168471293,3.767080474017479e-06,3.7791590675901368e-06
0.02,0.1,0.002,0.01,3,0.03871518746591226,0.04158484718248228,0.04235441060550114,0.07412232522693284,0.09399988422613537,0.005939750623490363,4.163524802879634e-06,4.154846340780311e-06
0.02,0.1,0.002,0.01,4,0.03871518746591226,0.04244724103327206,0.042577549005974324,0.09639766230360586,0.09976347249933318,0.0010000718667928453,3.843198175727949e-06,3.8314255315939885e-06
0.02,0.1,0.002,0.01,5,0.03871518746591226,0.042559953095956234,0.042691170102747616,0.09930897618484204,0.10269826641898894,0.0010022426475312925,4.4878484379064175e-06,4.475901824979257e-06
0.02,0.1,0.002,0.01,6,0.03871518746591226,0.04239959300354998,0.04253077135008637,0.09516693005507842,0.0985552217081123,0.0010095379362219156,3.671793407481683e-06,3.662508022434212e-06
0.02,0.1,0.002,0.01,7,0.03871518746591226,0.04105722466446336,0.0425100018611639,0.06049401673731294,0.09801875294011897,0.011218954421239715,4.20029524102693e-06,4.196078505616679e-06
0.02,0.1,0.002,0.01,8,0.03871518746591226,0.04245000170327684,0.04258067925456471,0.0964689694619971,0.09984432574570179,0.00100052877585975,4.611216711989832e-06,4.599191244444726e-06
0.02,0.1,0.002,0.01,9,0.03871518746591226,0.04076771437149903,0.04258845540768929,0.0530160652688036,0.10004518111109097,0.014080418985858522,4.140440013095599e-06,4.1406978703096965e-06
0.02,0.1,0.002,0.01,10,0.03871518746591226,0.038658599175029694,0.04239175591340463,0.0014616561248060312,0.09496450070736452,0.029245003810649435,4.05773779100432e-06,4.092441912837865e-06
0.02,0.1,0.002,0.01,11,0.03871518746591226,0.04089493084949532,0.04252673453536028,0.05630202321769119,0.09845095216971357,0.012601077565549953,4.25359583825323e-06,4.25146009060919e-06
0.02,0.1,0.002,0.03,0,0.03871518746591226,0.042410180405155054,0.042543897591914175,0.09544039900352139,0.09889426802783788,0.0010000000000030423,4.043612016195871e-06,4.0258995661291465e-06
0.02,0.1,0.002,0.03,1,0.03871518746591226,0.04152229978530701,0.04252638060485717,0.07250674743255074,0.09844181026633457,0.007568740949191247,4.404194273782443e-06,4.448592653182886e-06
0.02,0.1,0.002,0.03,2,0.03871518746591226,0.04225980872220734,0.04251822887014585,0.09155635006071014,0.09823125375750984,0.00193170421894949,3.867531147063091e-06,3.861260450754183e-06
