line_id,species,wavelength_air_A,wavelength_vac_A,EP_eV,our_log_gf,our_tier,match,primary_log_gf,delta_dex,primary_label,primary_source,graded
gf_006327,CH,4273.475,4274.6777,0.0716,-1.624,VALD3,UNIQUE,-1.6191,-0.0049,R  0.00390,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006328,CH,4273.49,4274.6927,1.1411,-2.895,VALD3,UNIQUE,-3.7023,+0.8073,P  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006329,CH,4273.644,4274.8467,0.0712,-3.573,VALD3,ABSENT,,,,,NO
gf_006330,CH,4273.856,4275.0588,0.0717,-1.2841,VALD3,UNIQUE,-3.0355,+1.7514,Q  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006331,CH,4274.1832,4275.3860,0.0718,-1.5486,VALD3,UNIQUE,-1.5629,+0.0143,R -0.00055,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006332,CH,4274.349,4275.5519,0.0716,-3.517,VALD3,ABSENT,,,,,NO
gf_006333,CH,4274.95,4276.1531,0.4077,-1.664,VALD3,UNIQUE,-1.6587,-0.0053,R  0.00020,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006334,CH,4275.066,4276.2691,0.4063,-3.613,VALD3,ABSENT,,,,,NO
gf_006335,CH,4275.3167,4276.5198,0.4075,-1.3233,VALD3,UNIQUE,-3.0582,+1.7349,Q  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006336,CH,4275.3834,4276.5866,1.0678,-0.6509,VALD3,AMBIGUOUS(2),,,,,NO
gf_006337,CH,4275.493,4276.6962,0.8052,-1.589,VALD3,UNIQUE,-1.5836,-0.0054,R  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006338,CH,4275.4975,4276.7007,1.0619,-2.5999,VALD3,UNIQUE,-3.6843,+1.0844,P  0.00000,data/reference/cno_molecular_primary/ch_masseron2014/table14.dat.gz,YES
gf_006339,CH,4275.6307,4276.8339,0.4076,-1.588,VALD3,AMBIGUOUS(2),,,,,NO
gf_006340,CH,4275.7263,4276.9296,0.8044,-1.5369,VALD3,AMBIGUOUS(2),,,,,NO
gf_006341,CH,4275.746,4276.9493,0.4067,-3.557,VALD3,ABSENT,,,,,NO
