wavelength_air_A,flux_normalized
1.502377118860108567e+04,8.337855167809814505e-01
1.502382311179982571e+04,8.157805698025438756e-01
1.502387503402838411e+04,8.050810565382857664e-01
1.502392695528672994e+04,8.004706683076496798e-01
1.502397887557481954e+04,7.966695871813791463e-01
1.502403079489262745e+04,7.886576504088026462e-01
1.502408271324011548e+04,7.720125889631286320e-01
1.502413463061724360e+04,7.558220624141305244e-01
1.502418654702398999e+04,7.428559104332278507e-01
1.502423846246030553e+04,7.306785478332744610e-01
1.502429037692615748e+04,7.238775676954702920e-01
1.502434229042151674e+04,7.147121113439257600e-01
1.502439420294634328e+04,7.051297811861991782e-01
1.502444611450060256e+04,6.876723192576066346e-01
1.502449802508425819e+04,6.766264929192644662e-01
1.502454993469727742e+04,6.584086392688950351e-01
1.502460184333962570e+04,6.619280252971424527e-01
1.502465375101126483e+04,6.350691760335579472e-01
1.502470565771215843e+04,6.140456558913125473e-01
1.502475756344228103e+04,5.882959470580152450e-01
1.502480946820158715e+04,5.560198431204109726e-01
1.502486137199004406e+04,5.104742829071422516e-01
1.502491327480761538e+04,4.639005703752360765e-01
1.502496517665427382e+04,4.361183188305201019e-01
1.502501707752997208e+04,4.268232859790613287e-01
1.502506897743468289e+04,4.357811233773770665e-01
1.502512087636837168e+04,4.546405941516841742e-01
1.502517277433100026e+04,4.950361652656573574e-01
1.502522467132252859e+04,5.378166891642949254e-01
1.502527656734293123e+04,5.673362175338964031e-01
1.502532846239216997e+04,5.984815818230563300e-01
1.502538035647020479e+04,6.144169577972735663e-01
1.502543224957700477e+04,6.248460479285319336e-01
1.502548414171253353e+04,6.274864584978055992e-01
1.502553603287675469e+04,6.212557924792015962e-01
1.502558792306964460e+04,6.395099741537616511e-01
1.502563981229114506e+04,6.675820678909533124e-01
1.502569170054123788e+04,7.075570283299043028e-01
1.502574358781988485e+04,7.141760181142255970e-01
1.502579547412705142e+04,7.275376212684192545e-01
1.502584735946269575e+04,7.368775630009950506e-01
1.502589924382679055e+04,7.509180700260568164e-01
1.502595112721930127e+04,7.570624950535853603e-01
1.502600300964018243e+04,7.636108988062116909e-01
1.502605489108941401e+04,7.572730576535118274e-01
1.502610677156694146e+04,7.534073353920356375e-01
1.502615865107274840e+04,7.430788380578418062e-01
1.502621052960678207e+04,7.190148371838415153e-01
1.502626240716902976e+04,6.810064612080338753e-01
1.502631428375943506e+04,6.155996339568610143e-01
1.502636615937797251e+04,5.652526303330004387e-01
