wavenumber_cm-1,wavelength_vac_A,wavelength_air_A,intensity
4257.03,23490.5556,23484.1467,0.999977
4257.035,23490.528,23484.1191,1.000761
4257.04,23490.5004,23484.0915,1.001516
4257.045,23490.4729,23484.064,1.002216
4257.05,23490.4453,23484.0364,1.002833
4257.055,23490.4177,23484.0088,1.00334
4257.06,23490.3901,23483.9812,1.003714
4257.065,23490.3625,23483.9536,1.003944
4257.07,23490.3349,23483.926,1.004031
4257.075,23490.3073,23483.8985,1.003993
4257.08,23490.2797,23483.8709,1.003867
4257.085,23490.2521,23483.8433,1.003694
4257.09,23490.2245,23483.8157,1.003519
4257.095,23490.197,23483.7881,1.003387
4257.1,23490.1694,23483.7606,1.00332
4257.105,23490.1418,23483.733,1.003326
4257.11,23490.1142,23483.7054,1.003396
4257.115,23490.0866,23483.6778,1.0035
4257.12,23490.059,23483.6502,1.003599
4257.125,23490.0314,23483.6226,1.00365
4257.13,23490.0038,23483.5951,1.003609
4257.135,23489.9762,23483.5675,1.003449
4257.14,23489.9487,23483.5399,1.003148
4257.145,23489.9211,23483.5123,1.002715
4257.15,23489.8935,23483.4847,1.002174
4257.155,23489.8659,23483.4572,1.001568
4257.16,23489.8383,23483.4296,1.000951
4257.165,23489.8107,23483.402,1.000381
4257.17,23489.7831,23483.3744,0.999914
4257.175,23489.7555,23483.3468,0.999598
4257.18,23489.7279,23483.3193,0.999464
4257.185,23489.7004,23483.2917,0.999521
4257.19,23489.6728,23483.2641,0.999765
4257.195,23489.6452,23483.2365,1.000174
4257.2,23489.6176,23483.2089,1.00071
4257.205,23489.59,23483.1813,1.00133
4257.21,23489.5624,23483.1538,1.001985
4257.215,23489.5348,23483.1262,1.002625
4257.22,23489.5072,23483.0986,1.003205
4257.225,23489.4796,23483.071,1.003684
4257.23,23489.4521,23483.0434,1.004031
4257.235,23489.4245,23483.0159,1.004228
4257.24,23489.3969,23482.9883,1.004265
4257.245,23489.3693,23482.9607,1.004146
4257.25,23489.3417,23482.9331,1.003889
4257.255,23489.3141,23482.9055,1.003514
4257.26,23489.2865,23482.878,1.003049
