band,element,ion,treatment,deck,n_lines,n_ep_joined,tol_A,use_ep,n_unique,n_absent,n_ambiguous,baseline_n_unique,baseline_kept,baseline_reidentified,src
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.005,False,7,0,1,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.005,True,8,0,0,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.01,False,7,0,1,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.01,True,8,0,0,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.02,False,6,0,2,7,6,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.02,True,8,0,0,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.03,False,6,0,2,7,6,1,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.03,True,8,0,0,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.05,False,4,0,4,7,4,3,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
VIS,Fe,II,ENGINE-B-NLTE,gerber-nlte,8,8,0.05,True,8,0,0,7,7,0,gerber-nlte/FeII_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv
