element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Fe,I,3828.504,84.89,48.0,0.2327,0.8632,-4.6542,16,0.827,SATURATED_REW,REW -4.654 > -4.9
V,I,3828.5439,91.35,50.01,0.2375,0.8632,-4.6223,3,0.799,SATURATED_REW,REW -4.622 > -4.9
V,I,3828.5517,92.93,50.51,0.2389,0.8632,-4.6149,2,0.799,SATURATED_REW,REW -4.615 > -4.9
Fe,I,3828.6443,86.42,45.66,0.2295,0.8108,-4.6464,12,0.827,SATURATED_REW,REW -4.646 > -4.9
Cr,I,3830.024,6.52,15.75,0.1964,0.7519,-5.769,20,0.849,EW_ERR_EXCESS,err/EW 2.42 > 0.5
Ti,I,3830.5247,75.64,46.89,0.1845,0.6636,-4.7045,9,0.864,SATURATED_REW,REW -4.705 > -4.9
Ni,I,3830.5987,11.65,19.67,0.1864,0.7709,-5.5169,7,0.864,EW_ERR_EXCESS,err/EW 1.69 > 0.5
Ti,I,3830.6232,11.65,19.62,0.1861,0.7709,-5.5169,10,0.864,EW_ERR_EXCESS,err/EW 1.68 > 0.5
Fe,I,3830.7569,85.64,49.74,0.1843,0.8636,-4.6506,12,0.718,SATURATED_REW,REW -4.651 > -4.9
Fe,I,3830.8613,145.29,86.12,0.1998,0.8735,-4.4211,10,0.718,SATURATED_REW,REW -4.421 > -4.9
Ni,I,3830.9394,181.16,94.82,0.2111,0.8514,-4.3252,10,0.864,SATURATED_REW,REW -4.325 > -4.9
V,II,3831.0207,57.11,28.73,0.2172,0.8388,-4.8266,8,0.864,SATURATED_REW,REW -4.827 > -4.9
Cr,I,3831.0284,57.21,28.64,0.2169,0.8388,-4.8258,8,0.864,SATURATED_REW,REW -4.826 > -4.9
Fe,I,3831.2645,32.5,23.91,0.1829,0.6446,-5.0715,6,0.599,EW_ERR_EXCESS,err/EW 0.74 > 0.5
Ti,I,3835.9313,232.6,252.83,0.2012,0.5949,-4.2173,36,0.355,SATURATED_REW,REW -4.217 > -4.9
Zr,I,3835.96,224.78,252.84,0.2001,0.5958,-4.2321,37,0.889,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,3836.0455,47.16,26.91,0.2011,0.8445,-4.9103,19,0.902,EW_ERR_EXCESS,err/EW 0.57 > 0.5
V,I,3836.053,47.14,27.09,0.2016,0.8445,-4.9105,18,0.902,EW_ERR_EXCESS,err/EW 0.57 > 0.5
Cr,I,3836.0643,47.15,27.3,0.202,0.8445,-4.9104,14,0.902,EW_ERR_EXCESS,err/EW 0.58 > 0.5
Ti,II,3836.0827,47.14,27.7,0.2031,0.8445,-4.9105,15,0.902,EW_ERR_EXCESS,err/EW 0.59 > 0.5
Cr,I,3836.3006,40.01,22.27,0.1695,0.8761,-4.9817,12,0.902,EW_ERR_EXCESS,err/EW 0.56 > 0.5
Fe,I,3836.3302,36.88,21.07,0.1636,0.8761,-5.0171,12,0.889,EW_ERR_EXCESS,err/EW 0.57 > 0.5
Fe,I,3836.5771,33.41,24.9,0.1545,0.8141,-5.0601,13,0.844,EW_ERR_EXCESS,err/EW 0.75 > 0.5
Fe,I,3836.7033,18.31,17.63,0.1693,0.7438,-5.3213,12,0.844,EW_ERR_EXCESS,err/EW 0.96 > 0.5
Cr,I,3836.7528,18.72,17.56,0.1701,0.7768,-5.3117,12,0.844,EW_ERR_EXCESS,err/EW 0.94 > 0.5
Zr,II,3836.761,18.8,17.57,0.1705,0.7768,-5.3098,12,0.636,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,3836.7688,18.83,17.6,0.1707,0.7768,-5.3091,12,0.844,EW_ERR_EXCESS,err/EW 0.93 > 0.5
Mn,I,3836.8884,14.92,17.72,0.1749,0.749,-5.4102,8,0.863,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3836.9149,15.62,18.15,0.1769,0.749,-5.3903,4,0.844,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,I,3837.1342,40.3,24.3,0.1835,0.8364,-4.9787,3,0.121,EW_ERR_EXCESS,err/EW 0.60 > 0.5
Fe,I,3842.2418,79.82,35.38,0.1596,0.4117,-4.6825,42,0.908,SATURATED_REW,REW -4.682 > -4.9
Ti,I,3842.6098,68.52,36.92,0.1478,0.4988,-4.7488,4,0.842,SATURATED_REW,REW -4.749 > -4.9
