element,ion,wavelength_air_A,ew_mA,ew_err_mA,chi2,observed_depth,rew,n_contaminants,worst_contaminant_depth,drop_reason,detail
Cr,I,3843.7398,99.6,38.07,0.165,0.7794,-4.5865,31,0.831,SATURATED_REW,REW -4.586 > -4.9
Cr,I,3843.7625,99.71,38.15,0.1651,0.7794,-4.586,31,0.831,SATURATED_REW,REW -4.586 > -4.9
Mn,I,3843.9758,62.49,23.63,0.1539,0.8043,-4.789,31,0.801,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3844.0272,61.75,24.04,0.1552,0.8043,-4.7941,24,0.831,SATURATED_REW,REW -4.794 > -4.9
Co,I,3844.065,61.76,24.29,0.1561,0.8016,-4.7941,17,0.831,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3844.1594,74.25,28.33,0.1562,0.7466,-4.7141,48,0.831,SATURATED_REW,REW -4.714 > -4.9
Mn,II,3844.1613,74.27,28.34,0.1562,0.7466,-4.714,43,0.677,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3844.2278,77.47,30.89,0.1588,0.7926,-4.6957,46,0.831,SATURATED_REW,REW -4.696 > -4.9
Ni,I,3844.2514,77.61,31.24,0.1582,0.7926,-4.6949,47,0.831,SATURATED_REW,REW -4.695 > -4.9
V,I,3844.4252,10.34,18.11,0.1611,0.4636,-5.5703,11,0.677,EW_ERR_EXCESS,err/EW 1.75 > 0.5
V,I,3844.4541,18.43,24.79,0.1774,0.4636,-5.3193,11,0.677,EW_ERR_EXCESS,err/EW 1.35 > 0.5
Mn,I,3845.0095,37.23,26.45,0.152,0.6649,-5.014,11,0.907,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3845.0401,33.91,24.32,0.1536,0.6649,-5.0546,5,0.239,EW_ERR_EXCESS,err/EW 0.72 > 0.5
Ti,I,3845.0937,270.6,162.54,0.1515,0.6797,-4.1526,10,0.907,SATURATED_REW,REW -4.153 > -4.9
Fe,I,3845.1684,90.67,33.12,0.159,0.8857,-4.6275,26,0.948,SATURATED_REW,REW -4.627 > -4.9
Fe,II,3845.1827,90.73,33.2,0.1594,0.8857,-4.6272,26,0.948,SATURATED_REW,REW -4.627 > -4.9
Fe,I,3845.2811,286.21,172.32,0.1552,0.801,-4.1282,28,0.948,SATURATED_REW,REW -4.128 > -4.9
Co,I,3845.4574,115.46,38.39,0.1491,0.9176,-4.5225,8,0.907,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3845.6938,47.75,25.41,0.1449,0.7347,-4.906,29,0.948,EW_ERR_EXCESS,err/EW 0.53 > 0.5
Ni,I,3845.9648,50.97,23.47,0.1394,0.7979,-4.8777,8,0.836,SATURATED_REW,REW -4.878 > -4.9
Fe,I,3845.9844,50.86,23.33,0.1391,0.7979,-4.8786,5,0.235,SATURATED_REW,REW -4.879 > -4.9
S,I,3846.024,52.01,23.42,0.1374,0.7979,-4.8689,6,0.836,SATURATED_REW,REW -4.869 > -4.9
Fe,I,3847.1493,27.82,34.7,0.1207,0.3643,-5.1408,24,0.557,EW_ERR_EXCESS,err/EW 1.25 > 0.5
Fe,I,3847.1588,58.48,59.29,0.1362,0.3859,-4.8181,24,0.557,SATURATED_REW,REW -4.818 > -4.9
V,I,3847.3189,37.12,40.78,0.1262,0.5013,-5.0156,7,0.521,EW_ERR_EXCESS,err/EW 1.10 > 0.5
V,II,3847.3391,39.2,42.9,0.1295,0.5013,-4.9919,6,0.521,EW_ERR_EXCESS,err/EW 1.09 > 0.5
Ti,I,3847.9895,144.56,55.88,0.1604,0.6212,-4.4252,13,0.82,SATURATED_REW,REW -4.425 > -4.9
Fe,I,3848.2888,72.38,30.63,0.1467,0.73,-4.7256,11,0.73,SATURATED_REW,REW -4.726 > -4.9
Cr,I,3848.3042,71.15,29.94,0.1444,0.73,-4.7331,11,0.82,SATURATED_REW,REW -4.733 > -4.9
Ti,I,3848.3073,70.01,29.34,0.1424,0.73,-4.7401,12,0.82,SATURATED_REW,REW -4.740 > -4.9
Cr,I,3848.9756,131.73,58.44,0.149,0.7512,-4.4657,23,0.545,SATURATED_REW,REW -4.466 > -4.9
Co,I,3849.5257,26.21,23.42,0.159,0.4396,-5.1669,9,0.809,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3849.5332,26.21,23.35,0.1586,0.4396,-5.1669,8,0.497,EW_ERR_EXCESS,err/EW 0.89 > 0.5
Co,I,3849.5526,28.13,24.22,0.1706,0.4396,-5.1362,10,0.809,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,II,3849.554,28.13,24.22,0.1706,0.4396,-5.1362,9,0.809,EW_ERR_EXCESS,err/EW 0.86 > 0.5
Fe,I,3849.8823,230.91,85.38,0.1167,0.7,-4.222,8,0.809,SATURATED_REW,REW -4.222 > -4.9
Fe,I,3849.9663,265.61,99.55,0.1244,0.8085,-4.1612,6,0.783,SATURATED_REW,REW -4.161 > -4.9
Cr,I,3851.3572,84.18,38.25,0.1618,0.7087,-4.6604,6,0.441,SATURATED_REW,REW -4.660 > -4.9
Co,I,3851.8508,22.97,20.13,0.1306,0.2588,-5.2245,28,0.36,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
V,II,3852.0895,9.86,11.53,0.1176,0.2377,-5.5918,26,0.812,EW_ERR_EXCESS,err/EW 1.17 > 0.5
V,I,3852.0902,9.86,11.53,0.1176,0.2377,-5.5918,26,0.812,EW_ERR_EXCESS,err/EW 1.17 > 0.5
Cr,I,3852.2118,9.22,10.73,0.1121,0.4795,-5.621,25,0.439,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,I,3852.2616,24.3,22.15,0.162,0.4795,-5.2001,26,0.812,EW_ERR_EXCESS,err/EW 0.91 > 0.5
Cr,I,3852.5242,215.83,95.97,0.1707,0.8337,-4.2516,7,0.934,SATURATED_REW,REW -4.252 > -4.9
Co,I,3852.5474,215.63,94.63,0.1707,0.8372,-4.252,11,0.934,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3852.5514,215.63,94.63,0.1707,0.8372,-4.252,11,0.934,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3852.5723,214.01,92.68,0.1699,0.8372,-4.2553,8,0.439,SATURATED_REW,REW -4.255 > -4.9
Cr,I,3852.6277,206.0,84.92,0.1669,0.8372,-4.2719,6,0.934,SATURATED_REW,REW -4.272 > -4.9
Ca,I,3852.7412,193.94,75.4,0.1649,0.4202,-4.2981,16,0.934,SATURATED_REW,REW -4.298 > -4.9
V,I,3852.8239,161.42,72.46,0.1057,0.2256,-4.3778,15,0.934,SATURATED_REW,REW -4.378 > -4.9
Cr,I,3853.172,17.11,19.64,0.1595,0.5858,-5.3526,12,0.799,EW_ERR_EXCESS,err/EW 1.15 > 0.5
Fe,I,3854.3659,296.75,134.49,0.1371,0.812,-4.1136,8,0.779,SATURATED_REW,REW -4.114 > -4.9
Co,I,3854.3691,297.45,134.68,0.1369,0.812,-4.1125,10,0.859,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3854.6779,218.09,112.29,0.1432,0.6788,-4.2474,6,0.859,SATURATED_REW,REW -4.247 > -4.9
Mn,I,3855.0995,94.62,35.14,0.1635,0.1363,-4.6101,50,0.797,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3855.2853,79.48,35.24,0.1555,0.7413,-4.6858,36,0.797,SATURATED_REW,REW -4.686 > -4.9
Fe,I,3855.3146,76.83,34.38,0.1541,0.7445,-4.7005,39,0.797,SATURATED_REW,REW -4.701 > -4.9
V,I,3855.3469,75.19,33.78,0.1539,0.7445,-4.7099,9,0.745,SATURATED_REW,REW -4.710 > -4.9
V,I,3855.3515,75.33,33.84,0.1539,0.7445,-4.7091,9,0.745,SATURATED_REW,REW -4.709 > -4.9
Zr,II,3855.461,76.84,34.47,0.1532,0.6882,-4.7005,39,0.797,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3855.5674,71.88,31.9,0.1564,0.77,-4.7295,62,0.858,SATURATED_REW,REW -4.729 > -4.9
Cr,I,3855.6887,77.07,33.68,0.1591,0.768,-4.6992,62,0.858,SATURATED_REW,REW -4.699 > -4.9
Ca,I,3857.3347,71.08,37.4,0.1836,0.2486,-4.7345,13,0.764,SATURATED_REW,REW -4.735 > -4.9
V,I,3862.205,50.55,23.58,0.1079,0.0595,-4.8831,34,0.615,SATURATED_REW,REW -4.883 > -4.9
Co,I,3862.2173,62.28,27.08,0.1042,0.0595,-4.7925,34,0.615,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3862.2433,70.11,28.09,0.1052,0.1093,-4.7411,45,0.615,SATURATED_REW,REW -4.741 > -4.9
Fe,I,3862.296,78.92,27.97,0.1143,0.2005,-4.6897,45,0.467,SATURATED_REW,REW -4.690 > -4.9
Fe,I,3862.3609,50.53,31.96,0.1704,0.2587,-4.8833,43,0.467,SATURATED_REW,REW -4.883 > -4.9
Co,I,3862.4251,50.64,32.01,0.1683,0.6114,-4.8824,25,0.615,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3862.4543,50.67,32.02,0.1682,0.6939,-4.8821,26,0.715,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3862.5415,46.24,31.12,0.1683,0.6939,-4.9219,24,0.615,EW_ERR_EXCESS,err/EW 0.67 > 0.5
Si,II,3862.5954,39.63,28.36,0.1651,0.5776,-4.9889,8,0.715,EW_ERR_EXCESS,err/EW 0.72 > 0.5
Ni,I,3863.0637,14.0,13.53,0.1268,0.4598,-5.4408,6,0.715,EW_ERR_EXCESS,err/EW 0.97 > 0.5
Fe,I,3863.163,11.65,13.46,0.1417,0.2688,-5.5206,9,0.723,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,II,3863.3893,47.26,23.28,0.1512,0.6896,-4.9125,13,0.723,UNEXPLAINED,no pipeline rule accounts for this drop
Mn,II,3863.3999,47.96,23.32,0.1508,0.6896,-4.9061,15,0.882,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3863.4152,49.19,23.5,0.151,0.6896,-4.8951,12,0.882,SATURATED_REW,REW -4.895 > -4.9
Ti,I,3863.5376,133.69,40.83,0.1367,0.3599,-4.4609,39,0.882,SATURATED_REW,REW -4.461 > -4.9
Co,I,3863.587,107.45,36.11,0.1494,0.5154,-4.5558,37,0.882,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3863.6384,107.03,36.9,0.1495,0.7269,-4.5575,38,0.882,SATURATED_REW,REW -4.557 > -4.9
Fe,I,3863.6906,107.33,38.53,0.1492,0.818,-4.5563,37,0.636,SATURATED_REW,REW -4.556 > -4.9
V,II,3863.7654,100.04,37.67,0.1477,0.818,-4.5868,15,0.882,SATURATED_REW,REW -4.587 > -4.9
Fe,I,3863.8283,89.07,34.86,0.1521,0.729,-4.6373,34,0.66,SATURATED_REW,REW -4.637 > -4.9
V,I,3863.8597,89.62,35.11,0.151,0.5012,-4.6346,17,0.882,SATURATED_REW,REW -4.635 > -4.9
Co,I,3863.9421,119.35,38.17,0.1331,0.4328,-4.5102,38,0.882,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3863.951,119.35,38.17,0.1331,0.4328,-4.5102,39,0.882,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,II,3863.9517,119.35,38.28,0.1331,0.4328,-4.5102,34,0.66,SATURATED_REW,REW -4.510 > -4.9
Co,I,3864.1754,15.63,17.28,0.1404,0.4572,-5.3931,19,0.784,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
V,I,3864.2407,32.42,16.89,0.1413,0.621,-5.0763,12,0.784,EW_ERR_EXCESS,err/EW 0.52 > 0.5
Fe,I,3864.3007,30.08,16.71,0.1525,0.6679,-5.1088,9,0.66,EW_ERR_EXCESS,err/EW 0.56 > 0.5
V,I,3864.33,29.73,16.69,0.1553,0.6679,-5.1139,12,0.784,EW_ERR_EXCESS,err/EW 0.56 > 0.5
Zr,I,3864.34,29.72,16.66,0.1554,0.6679,-5.114,13,0.784,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Ti,I,3864.4828,19.09,22.12,0.1628,0.4534,-5.3063,14,0.784,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,I,3864.4851,19.11,22.13,0.1628,0.4534,-5.3058,11,0.358,EW_ERR_EXCESS,err/EW 1.16 > 0.5
Fe,I,3864.591,50.49,26.94,0.1472,0.4279,-4.8839,26,0.807,SATURATED_REW,REW -4.884 > -4.9
Mn,I,3864.5912,50.49,26.94,0.1472,0.4279,-4.8839,30,0.807,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3865.331,244.12,61.18,0.1275,0.6207,-4.1996,12,0.975,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3865.3511,244.11,61.57,0.1278,0.6822,-4.1996,12,0.975,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3865.3535,244.12,61.57,0.1278,0.6822,-4.1996,10,0.344,SATURATED_REW,REW -4.200 > -4.9
Fe,I,3865.4547,244.13,61.83,0.1284,0.9064,-4.1996,26,0.344,SATURATED_REW,REW -4.200 > -4.9
Cr,II,3865.6043,244.35,62.83,0.1307,0.9355,-4.1992,28,0.975,SATURATED_REW,REW -4.199 > -4.9
S,I,3865.655,252.49,64.41,0.1226,0.8375,-4.185,35,0.975,SATURATED_REW,REW -4.185 > -4.9
Mn,I,3865.6607,255.68,65.42,0.1206,0.8021,-4.1795,34,0.975,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
V,II,3865.7012,268.64,70.39,0.117,0.6986,-4.1581,16,0.975,SATURATED_REW,REW -4.158 > -4.9
Fe,I,3865.742,268.59,69.96,0.1152,0.5766,-4.1581,30,0.458,SATURATED_REW,REW -4.158 > -4.9
Ti,I,3866.44,66.98,39.47,0.1624,0.5376,-4.7614,12,0.575,SATURATED_REW,REW -4.761 > -4.9
Fe,I,3866.4529,66.96,39.46,0.1627,0.5376,-4.7615,12,0.709,SATURATED_REW,REW -4.761 > -4.9
Cr,II,3866.5305,71.28,41.56,0.1693,0.4652,-4.7344,31,0.709,SATURATED_REW,REW -4.734 > -4.9
Mn,I,3866.5721,71.61,41.7,0.1692,0.3386,-4.7324,32,0.709,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3867.2157,101.75,35.52,0.1422,0.82,-4.5799,6,0.166,SATURATED_REW,REW -4.580 > -4.9
Cr,I,3867.6483,52.82,22.72,0.1321,0.6403,-4.8646,39,0.855,SATURATED_REW,REW -4.865 > -4.9
Fe,I,3867.6647,51.49,22.15,0.1305,0.6403,-4.8757,34,0.43,SATURATED_REW,REW -4.876 > -4.9
Cr,I,3868.1775,251.65,234.72,0.1161,0.5397,-4.1867,19,0.855,SATURATED_REW,REW -4.187 > -4.9
Fe,I,3868.2337,14.77,14.59,0.1176,0.5566,-5.4181,18,0.68,EW_ERR_EXCESS,err/EW 0.99 > 0.5
Cr,I,3868.2677,11.51,13.15,0.116,0.5566,-5.5264,20,0.855,EW_ERR_EXCESS,err/EW 1.14 > 0.5
Ni,I,3868.3114,8.88,11.87,0.1177,0.5159,-5.6391,22,0.803,EW_ERR_EXCESS,err/EW 1.34 > 0.5
Ti,I,3868.4,28.68,22.25,0.1176,0.6308,-5.13,20,0.803,EW_ERR_EXCESS,err/EW 0.78 > 0.5
Fe,I,3868.5487,253.63,266.82,0.1377,0.4853,-4.1833,17,0.68,SATURATED_REW,REW -4.183 > -4.9
Fe,I,3868.7201,34.28,27.17,0.1427,0.527,-5.0525,15,0.68,EW_ERR_EXCESS,err/EW 0.79 > 0.5
Fe,I,3869.884,75.66,39.47,0.1966,0.6766,-4.7088,19,0.24,SATURATED_REW,REW -4.709 > -4.9
Cr,I,3873.5782,66.26,32.71,0.2022,0.6171,-4.7669,8,0.932,SATURATED_REW,REW -4.767 > -4.9
Fe,I,3873.7601,84.19,34.28,0.2362,0.8623,-4.6629,28,0.93,SATURATED_REW,REW -4.663 > -4.9
Co,I,3873.9218,170.72,72.89,0.2227,0.8649,-4.3559,16,0.932,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3873.9512,154.03,63.58,0.2191,0.8649,-4.4005,15,0.932,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3874.0225,156.88,67.27,0.212,0.8649,-4.3926,33,0.932,SATURATED_REW,REW -4.393 > -4.9
Fe,I,3874.0534,174.1,78.66,0.211,0.7956,-4.3474,32,0.93,SATURATED_REW,REW -4.347 > -4.9
Zr,II,3874.401,30.35,18.54,0.1517,0.0794,-5.106,22,0.793,SYNTH_ROUTED,Zr: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3874.4746,28.43,19.16,0.1593,0.6139,-5.1344,11,0.735,EW_ERR_EXCESS,err/EW 0.67 > 0.5
Cr,I,3874.4983,28.07,19.67,0.1641,0.6151,-5.14,9,0.34,EW_ERR_EXCESS,err/EW 0.70 > 0.5
Fe,I,3874.8934,41.0,26.19,0.1916,0.2738,-4.9755,32,0.81,EW_ERR_EXCESS,err/EW 0.64 > 0.5
V,I,3875.0642,17.35,18.51,0.2274,0.6062,-5.349,10,0.684,EW_ERR_EXCESS,err/EW 1.07 > 0.5
Fe,I,3875.1027,12.28,17.84,0.2839,0.6062,-5.4991,42,0.81,EW_ERR_EXCESS,err/EW 1.45 > 0.5
Cr,I,3875.1138,11.19,17.79,0.3035,0.6062,-5.5395,43,0.81,EW_ERR_EXCESS,err/EW 1.59 > 0.5
Ni,I,3875.1692,6.75,17.86,0.4335,0.4806,-5.759,48,0.81,EW_ERR_EXCESS,err/EW 2.65 > 0.5
Ti,I,3875.2319,8.21,24.71,0.5352,0.5962,-5.674,46,0.81,EW_ERR_EXCESS,err/EW 3.01 > 0.5
Ti,I,3875.2611,7.74,24.47,0.5493,0.6263,-5.6996,45,0.81,EW_ERR_EXCESS,err/EW 3.16 > 0.5
V,I,3875.3863,12.98,24.86,0.3902,0.5657,-5.475,11,0.684,EW_ERR_EXCESS,err/EW 1.92 > 0.5
V,I,3875.4519,19.37,26.1,0.3036,0.364,-5.3012,13,0.771,EW_ERR_EXCESS,err/EW 1.35 > 0.5
V,II,3875.6289,152.65,85.12,0.2194,0.0583,-4.4046,18,0.771,SATURATED_REW,REW -4.405 > -4.9
V,II,3875.6502,156.68,83.76,0.2167,0.0583,-4.3933,19,0.771,SATURATED_REW,REW -4.393 > -4.9
Fe,I,3875.6546,157.95,83.21,0.215,0.0583,-4.3898,70,0.771,SATURATED_REW,REW -4.390 > -4.9
Ca,I,3875.7763,151.66,80.64,0.2247,0.6654,-4.4075,77,0.921,SATURATED_REW,REW -4.407 > -4.9
V,I,3875.8778,186.46,70.25,0.1977,0.6218,-4.3178,12,0.921,SATURATED_REW,REW -4.318 > -4.9
Fe,I,3876.0396,187.74,71.77,0.1994,0.8385,-4.3148,42,0.771,SATURATED_REW,REW -4.315 > -4.9
V,I,3876.0668,184.06,70.87,0.1985,0.8385,-4.3234,10,0.921,SATURATED_REW,REW -4.323 > -4.9
Cr,I,3876.1435,181.61,69.86,0.1987,0.7096,-4.3293,45,0.921,SATURATED_REW,REW -4.329 > -4.9
Fe,I,3876.4816,25.36,24.65,0.1629,0.4883,-5.1843,21,0.806,EW_ERR_EXCESS,err/EW 0.97 > 0.5
Fe,I,3876.6708,33.2,25.0,0.2319,0.4703,-5.0673,42,0.806,EW_ERR_EXCESS,err/EW 0.75 > 0.5
Mn,I,3876.6903,16.08,17.21,0.2081,0.4703,-5.3822,44,0.806,SYNTH_ROUTED,Mn: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3876.7854,136.15,59.46,0.2009,0.7208,-4.4545,46,0.806,SATURATED_REW,REW -4.454 > -4.9
Co,I,3876.8039,134.16,58.67,0.1988,0.7435,-4.4609,22,0.806,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3876.8513,124.5,55.92,0.1942,0.7435,-4.4933,24,0.806,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3876.8645,122.82,55.77,0.1941,0.7435,-4.4992,48,0.806,SATURATED_REW,REW -4.499 > -4.9
Cr,I,3876.8734,121.59,55.83,0.1943,0.7435,-4.5036,53,0.806,SATURATED_REW,REW -4.504 > -4.9
Ni,I,3876.9615,115.71,56.76,0.2,0.6938,-4.5251,51,0.806,SATURATED_REW,REW -4.525 > -4.9
V,I,3879.1872,51.44,35.98,0.2103,0.5102,-4.8774,7,0.705,SATURATED_REW,REW -4.877 > -4.9
Cr,I,3879.2329,53.44,36.68,0.215,0.5102,-4.8609,8,0.348,SATURATED_REW,REW -4.861 > -4.9
V,I,3879.253,53.74,36.82,0.2157,0.5102,-4.8585,9,0.705,SATURATED_REW,REW -4.858 > -4.9
Cr,I,3879.2657,53.7,36.73,0.2155,0.5102,-4.8588,7,0.348,SATURATED_REW,REW -4.859 > -4.9
Ti,I,3879.3452,53.74,35.59,0.212,0.4432,-4.8585,11,0.705,SATURATED_REW,REW -4.858 > -4.9
V,I,3879.6409,49.38,33.88,0.1997,0.5341,-4.8952,9,0.356,SATURATED_REW,REW -4.895 > -4.9
Fe,I,3879.6418,48.98,33.82,0.1995,0.5341,-4.8988,8,0.356,SATURATED_REW,REW -4.899 > -4.9
V,I,3879.6519,48.95,33.85,0.1998,0.5341,-4.899,9,0.356,SATURATED_REW,REW -4.899 > -4.9
Fe,I,3879.6651,49.01,33.83,0.2001,0.5341,-4.8985,7,0.356,SATURATED_REW,REW -4.899 > -4.9
Ti,I,3880.6308,111.04,50.42,0.2608,0.6395,-4.5434,13,0.415,SATURATED_REW,REW -4.543 > -4.9
Co,I,3880.9912,114.71,62.87,0.2703,0.6577,-4.5293,13,0.578,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
V,II,3881.0277,114.71,63.37,0.2695,0.6577,-4.5293,12,0.578,SATURATED_REW,REW -4.529 > -4.9
Ti,I,3881.3942,60.6,40.29,0.3489,0.6754,-4.8065,13,0.578,SATURATED_REW,REW -4.807 > -4.9
Co,I,3881.7159,73.91,36.65,0.2258,0.6402,-4.7203,18,0.8,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3881.7503,72.93,36.87,0.2248,0.5467,-4.7261,20,0.8,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Cr,I,3883.6352,8.72,18.81,0.2548,0.3165,-5.6487,17,0.429,EW_ERR_EXCESS,err/EW 2.16 > 0.5
Cr,I,3883.7038,8.7,18.68,0.2495,0.3076,-5.6497,8,0.42,EW_ERR_EXCESS,err/EW 2.15 > 0.5
Fe,I,3884.0755,110.51,39.7,0.2115,0.0734,-4.5459,23,0.311,SATURATED_REW,REW -4.546 > -4.9
Ti,I,3884.0871,160.23,60.79,0.2466,0.0734,-4.3845,28,0.903,SATURATED_REW,REW -4.385 > -4.9
Fe,I,3884.1799,164.44,58.52,0.2319,0.5459,-4.3733,4,0.311,SATURATED_REW,REW -4.373 > -4.9
Fe,I,3884.3526,159.56,55.8,0.2249,0.8307,-4.3864,18,0.733,SATURATED_REW,REW -4.386 > -4.9
Cr,I,3884.4318,148.86,51.85,0.2147,0.8302,-4.4165,18,0.903,SATURATED_REW,REW -4.417 > -4.9
Ca,I,3884.4899,142.35,49.96,0.2085,0.5661,-4.436,21,0.903,SATURATED_REW,REW -4.436 > -4.9
Co,I,3884.559,47.62,30.4,0.2382,0.5544,-4.9116,8,0.903,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Ni,I,3884.5883,47.62,30.46,0.237,0.5738,-4.9116,18,0.903,EW_ERR_EXCESS,err/EW 0.64 > 0.5
Fe,I,3884.6092,47.59,30.55,0.2363,0.5738,-4.9118,17,0.733,EW_ERR_EXCESS,err/EW 0.64 > 0.5
Cr,I,3884.6182,47.62,30.64,0.236,0.5738,-4.9116,17,0.903,EW_ERR_EXCESS,err/EW 0.64 > 0.5
Cr,I,3884.6572,47.65,30.79,0.2357,0.5738,-4.9113,17,0.903,EW_ERR_EXCESS,err/EW 0.65 > 0.5
Fe,I,3884.6632,47.64,30.79,0.2357,0.5738,-4.9114,17,0.733,EW_ERR_EXCESS,err/EW 0.65 > 0.5
Fe,II,3884.6671,47.4,30.66,0.2354,0.5738,-4.9136,17,0.733,EW_ERR_EXCESS,err/EW 0.65 > 0.5
Ti,I,3884.8021,6.42,17.18,0.2365,0.3252,-5.7818,40,0.8,EW_ERR_EXCESS,err/EW 2.68 > 0.5
Co,I,3884.8429,6.86,31.06,1.0977,0.3252,-5.753,19,0.8,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3884.9592,58.69,39.93,0.5095,0.1474,-4.8208,57,0.861,SATURATED_REW,REW -4.821 > -4.9
Cr,I,3885.067,138.06,49.19,0.2328,0.5555,-4.4493,24,0.8,SATURATED_REW,REW -4.449 > -4.9
Fe,I,3885.1453,142.37,50.82,0.2369,0.7668,-4.436,26,0.861,SATURATED_REW,REW -4.436 > -4.9
Cr,I,3885.2137,142.48,50.95,0.2362,0.7878,-4.4357,25,0.922,SATURATED_REW,REW -4.436 > -4.9
Co,I,3885.2537,142.56,51.1,0.2358,0.7878,-4.4354,6,0.922,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Fe,I,3885.5101,107.59,40.38,0.2401,0.8541,-4.5577,24,0.861,SATURATED_REW,REW -4.558 > -4.9
Cr,I,3885.7008,7.86,15.82,0.2957,0.6396,-5.694,5,0.922,EW_ERR_EXCESS,err/EW 2.01 > 0.5
Ni,I,3885.8697,9.39,24.22,0.3813,0.6473,-5.6168,3,0.832,EW_ERR_EXCESS,err/EW 2.58 > 0.5
Fe,I,3885.9093,10.41,24.74,0.3723,0.6473,-5.572,2,0.513,EW_ERR_EXCESS,err/EW 2.38 > 0.5
Fe,I,3887.4096,191.08,54.03,0.1655,0.3674,-4.3084,1,0.066,SATURATED_REW,REW -4.308 > -4.9
Ti,I,3888.02,129.09,155.57,0.1872,0.4114,-4.4788,3,0.185,SATURATED_REW,REW -4.479 > -4.9
Fe,I,3888.0484,150.42,133.47,0.19,0.4114,-4.4124,3,0.29,SATURATED_REW,REW -4.412 > -4.9
Ni,I,3890.7061,68.32,31.86,0.1634,0.253,-4.7555,44,0.884,SATURATED_REW,REW -4.755 > -4.9
Cr,I,3890.7123,68.32,31.86,0.1634,0.253,-4.7555,46,0.884,SATURATED_REW,REW -4.755 > -4.9
Co,I,3890.7202,67.94,31.8,0.1636,0.2754,-4.7579,27,0.884,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
Co,I,3890.7549,254.35,282.9,0.1638,0.4739,-4.1846,29,0.884,SYNTH_ROUTED,Co: synthesis is the reporting channel (synthesis (problem-children registry))
