wavelength_air_A,model_flux
8.210471999999965192e+03,9.978890257241372908e-01
8.210473999999965599e+03,9.978852818398492586e-01
8.210475999999964188e+03,9.978805897128809610e-01
8.210477999999964595e+03,9.978749630368681789e-01
8.210479999999963184e+03,9.978684141380157469e-01
8.210481999999963591e+03,9.978609539987082222e-01
8.210483999999962180e+03,9.978525923052775637e-01
8.210485999999962587e+03,9.978433375513645620e-01
8.210487999999961175e+03,9.978331972097879143e-01
8.210489999999961583e+03,9.978221779186448037e-01
8.210491999999960171e+03,9.978102856069217541e-01
8.210493999999960579e+03,9.977975255099189589e-01
8.210495999999959167e+03,9.977839021193898317e-01
8.210497999999959575e+03,9.977694191397780132e-01
8.210499999999958163e+03,9.977540795020771736e-01
8.210501999999958571e+03,9.977378854206636616e-01
8.210503999999957159e+03,9.977208384579732137e-01
8.210505999999957567e+03,9.977029395704232195e-01
8.210507999999956155e+03,9.976841891385477279e-01
8.210509999999956563e+03,9.976645870088957091e-01
8.210511999999955151e+03,9.976441325721919773e-01
8.210513999999955558e+03,9.976228248805565357e-01
8.210515999999954147e+03,9.976006627528523074e-01
8.210517999999954554e+03,9.975776448127458007e-01
8.210519999999953143e+03,9.975537694301895852e-01
8.210521999999953550e+03,9.975290346146068465e-01
8.210523999999952139e+03,9.975034379208908009e-01
8.210525999999952546e+03,9.974769764078971201e-01
8.210527999999951135e+03,9.974496466332812838e-01
8.210529999999951542e+03,9.974214446561194825e-01
8.210531999999950131e+03,9.973923660319251594e-01
8.210533999999950538e+03,9.973624058113949031e-01
8.210535999999949127e+03,9.973315585703907971e-01
8.210537999999949534e+03,9.972998184825989654e-01
8.210539999999948122e+03,9.972671794227724318e-01
8.210541999999948530e+03,9.972336350478275824e-01
8.210543999999947118e+03,9.971991788175204041e-01
8.210545999999947526e+03,9.971638039438763812e-01
8.210547999999946114e+03,9.971275033205430072e-01
8.210549999999946522e+03,9.970902694807511901e-01
8.210551999999945110e+03,9.970520946101173454e-01
8.210553999999945518e+03,9.970129705942026854e-01
8.210555999999944106e+03,9.969728890769143925e-01
8.210557999999944514e+03,9.969318415244190490e-01
8.210559999999943102e+03,9.968898193138079344e-01
8.210561999999943509e+03,9.968468138730171013e-01
8.210563999999942098e+03,9.968028168664013755e-01
8.210565999999942505e+03,9.967578203935283376e-01
8.210567999999941094e+03,9.967118171422705286e-01
8.210569999999941501e+03,9.966648004753642098e-01
8.210571999999940090e+03,9.966167644613561638e-01
8.210573999999940497e+03,9.965677039068630005e-01
8.210575999999939086e+03,9.965176144271604697e-01
8.210577999999939493e+03,9.964664925661608219e-01
8.210579999999938082e+03,9.964143359403880851e-01
8.210581999999938489e+03,9.963611433865156020e-01
8.210583999999937078e+03,9.963069151167220916e-01
8.210585999999937485e+03,9.962516529071422378e-01
8.210587999999936073e+03,9.961953603411526359e-01
8.210589999999936481e+03,9.961380430810109488e-01
8.210591999999935069e+03,9.960797091138592352e-01
8.210593999999935477e+03,9.960203689132366422e-01
8.210595999999934065e+03,9.959600355203841460e-01
8.210597999999934473e+03,9.958987245847751302e-01
8.210599999999933061e+03,9.958364544232850557e-01
8.210601999999933469e+03,9.957732461191143303e-01
8.210603999999932057e+03,9.957091236527407796e-01
8.210605999999932465e+03,9.956441140370727583e-01
8.210607999999931053e+03,9.955782474406675853e-01
8.210609999999931460e+03,9.955115573068739065e-01
8.210611999999930049e+03,9.954440804879298721e-01
8.210613999999930456e+03,9.953758574032670614e-01
8.210615999999929045e+03,9.953069321879862708e-01
8.210617999999929452e+03,9.952373527822226951e-01
