wavelength_air_A,wavelength_vac_A,residual_flux,irradiance_uW_cm2_nm
7441.49410,7443.54370,0.99359,131.45000
7441.50390,7443.55350,0.99301,131.37000
7441.51430,7443.56390,0.99201,131.24000
7441.52400,7443.57360,0.99178,131.21000
7441.53440,7443.58400,0.99255,131.31000
7441.54420,7443.59390,0.99305,131.38000
7441.55460,7443.60430,0.99302,131.37000
7441.56430,7443.61400,0.99344,131.43000
7441.57470,7443.62440,0.99390,131.49000
7441.58450,7443.63420,0.99385,131.48000
7441.59420,7443.64390,0.99441,131.56000
7441.60460,7443.65430,0.99527,131.67000
7441.61440,7443.66410,0.99465,131.59000
7441.62480,7443.67450,0.99368,131.46000
7441.63450,7443.68420,0.99427,131.54000
7441.64490,7443.69460,0.99506,131.64000
7441.65470,7443.70440,0.99475,131.60000
7441.66500,7443.71470,0.99444,131.56000
7441.67480,7443.72450,0.99455,131.57000
7441.68520,7443.73490,0.99424,131.53000
7441.69490,7443.74460,0.99327,131.40000
7441.70530,7443.75500,0.99174,131.20000
7441.71510,7443.76480,0.99016,130.99000
7441.72550,7443.77520,0.98899,130.84000
7441.73520,7443.78490,0.98715,130.59000
7441.74560,7443.79530,0.98428,130.21000
7441.75540,7443.80510,0.98191,129.90000
7441.76570,7443.81540,0.97984,129.62000
7441.77550,7443.82520,0.97700,129.25000
7441.78530,7443.83500,0.97516,129.00000
7441.79570,7443.84540,0.97522,129.01000
7441.80540,7443.85510,0.97472,128.95000
7441.81580,7443.86550,0.97393,128.84000
7441.82560,7443.87530,0.97555,129.06000
7441.83590,7443.88560,0.97790,129.37000
7441.84570,7443.89540,0.97847,129.44000
7441.85610,7443.90580,0.97969,129.60000
7441.86580,7443.91550,0.98302,130.04000
7441.87620,7443.92590,0.98516,130.33000
7441.88600,7443.93570,0.98506,130.31000
7441.89640,7443.94610,0.98553,130.37000
7441.90610,7443.95580,0.98683,130.55000
7441.91650,7443.96630,0.98696,130.56000
7441.92630,7443.97610,0.98623,130.47000
7441.93660,7443.98640,0.98605,130.44000
7441.94640,7443.99620,0.98616,130.46000
7441.95680,7444.00660,0.98580,130.41000
7441.96660,7444.01640,0.98499,130.30000
7441.97690,7444.02670,0.98443,130.23000
7441.98670,7444.03650,0.98509,130.31000
7441.99650,7444.04630,0.98677,130.53000
7442.00680,7444.05660,0.98757,130.64000
7442.01660,7444.06640,0.98679,130.54000
7442.02700,7444.07680,0.98652,130.50000
7442.03670,7444.08650,0.98825,130.73000
7442.04710,7444.09690,0.99037,131.01000
7442.05690,7444.10670,0.99099,131.09000
7442.06730,7444.11710,0.99081,131.07000
7442.07700,7444.12680,0.99108,131.10000
7442.08740,7444.13720,0.99132,131.13000
7442.09720,7444.14700,0.99105,131.10000
7442.10750,7444.15730,0.99092,131.08000
7442.11730,7444.16710,0.99033,131.00000
7442.12770,7444.17750,0.98759,130.64000
7442.13750,7444.18730,0.98363,130.12000
7442.14780,7444.19760,0.98165,129.85000
7442.15760,7444.20740,0.98267,129.99000
7442.16800,7444.21780,0.98480,130.27000
7442.17770,7444.22750,0.98618,130.45000
7442.18810,7444.23790,0.98628,130.46000
7442.19790,7444.24770,0.98580,130.40000
7442.20760,7444.25740,0.98547,130.36000
7442.21800,7444.26780,0.98467,130.25000
7442.22780,7444.27760,0.98285,130.01000
7442.23820,7444.28800,0.98110,129.78000
7442.24790,7444.29770,0.98007,129.64000
7442.25830,7444.30810,0.97900,129.50000
7442.26810,7444.31790,0.97820,129.39000
7442.27840,7444.32830,0.97839,129.42000
7442.28820,7444.33810,0.97850,129.43000
7442.29860,7444.34850,0.97795,129.36000
7442.30830,7444.35820,0.97817,129.39000
7442.31870,7444.36860,0.97968,129.59000
7442.32850,7444.37840,0.98132,129.80000
7442.33890,7444.38880,0.98233,129.94000
7442.34860,7444.39850,0.98280,130.00000
7442.35900,7444.40890,0.98339,130.08000
7442.36880,7444.41870,0.98465,130.24000
7442.37920,7444.42910,0.98558,130.37000
7442.38890,7444.43880,0.98505,130.30000
7442.39930,7444.44920,0.98392,130.15000
7442.40910,7444.45900,0.98289,130.01000
7442.41940,7444.46930,0.98145,129.82000
7442.42920,7444.47910,0.97989,129.61000
7442.43900,7444.48890,0.97879,129.47000
7442.44930,7444.49920,0.97786,129.34000
7442.45910,7444.50900,0.97736,129.28000
7442.46950,7444.51940,0.97758,129.31000
7442.47920,7444.52910,0.97764,129.31000
7442.48960,7444.53950,0.97801,129.36000
7442.49940,7444.54930,0.98009,129.64000
7442.50980,7444.55970,0.98275,129.99000
7442.51950,7444.56940,0.98447,130.22000
7442.52990,7444.57980,0.98619,130.44000
7442.53970,7444.58960,0.98799,130.68000
7442.55000,7444.59990,0.98854,130.75000
7442.55980,7444.60970,0.98880,130.79000
7442.57020,7444.62010,0.98996,130.94000
7442.58000,7444.62990,0.99063,131.03000
7442.59030,7444.64020,0.99024,130.98000
7442.60010,7444.65000,0.98998,130.94000
7442.61050,7444.66040,0.98952,130.88000
7442.62020,7444.67010,0.98821,130.71000
7442.63060,7444.68050,0.98732,130.59000
7442.64040,7444.69030,0.98713,130.56000
7442.65010,7444.70010,0.98633,130.46000
7442.66050,7444.71050,0.98534,130.33000
7442.67030,7444.72030,0.98533,130.33000
