line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry,w,band,depth,tier,ionx
gf_056581,pk_851513487884,26,1.0,Fe I,4768.32,3.686,1,-1.41,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.42,,-1.149,True,False,True,,DH14,0.04,10.1088/0067-0049/215/2/23,True,LAB,False,4768.32,VIS,0.687,DEEPGRADED,1.0
gf_056582,pk_9dedbb0899d9,26,1.0,Fe I,4768.396,2.94,1,-2.27,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.34,,-2.261,True,False,True,,RU14,0.05,10.1093/mnras/stu780,True,LAB,False,4768.396,VIS,0.633,DEEPGRADED,1.0
gf_056628,pk_60dcc3289b1f,26,1.0,Fe I,4787.827,2.998,1,-2.62,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-2.604,,-2.53,True,False,True,,DH14,0.06,10.1088/0067-0049/215/2/23,True,LAB,False,4787.827,VIS,0.531,GRADED,1.0
gf_056693,pk_a79bae3f230c,26,1.0,Fe I,4807.708,3.368,1,-2.15,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.15,,-2.2,True,False,True,,RU14,0.05,10.1093/mnras/stu780,True,LAB,False,4807.708,VIS,0.509,GRADED,1.0
gf_056789,pk_42b59a5302f7,26,1.0,Fe I,4843.143,3.397,1,-1.65,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.65,,-1.84,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4843.143,VIS,0.607,DEEPGRADED,1.0
gf_056833,pk_8d2bc47710f1,26,1.0,Fe I,4855.673,3.368,1,-1.63,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.7,,-1.769,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4855.673,VIS,0.629,DEEPGRADED,1.0
gf_056852,pk_6470b64787b3,26,1.0,Fe I,4860.978,3.397,1,-2.33,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-2.33,,-2.43,True,False,True,,RU14,0.08,10.1093/mnras/stu780,True,LAB,False,4860.978,VIS,0.394,GRADED,1.0
gf_056878,pk_3777df770d23,26,1.0,Fe I,4871.318,2.865,1,-0.34,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.35,,-0.363,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4871.318,VIS,0.862,DEEPGRADED,1.0
gf_056894,pk_38dd61e0c83d,26,1.0,Fe I,4875.877,3.332,1,-1.9,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.9,,-2.02,True,False,True,,RU14,0.04,10.1093/mnras/stu780,True,LAB,False,4875.877,VIS,0.575,GRADED,1.0
gf_056916,pk_5ed0333bfa36,26,1.0,Fe I,4882.143,3.417,1,-1.48,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.48,,-1.64,True,False,True,,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4882.143,VIS,0.642,DEEPGRADED,1.0
gf_056926,pk_433841e1de4e,26,1.0,Fe I,4885.43,3.882,1,-0.97,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.97,,-1.024,True,False,True,,RU14,0.03,10.1093/mnras/stu780,True,LAB,False,4885.43,VIS,0.659,DEEPGRADED,1.0
gf_056945,pk_2ed90990cfe5,26,1.0,Fe I,4889.102,3.884,1,-1.19,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.19,,-1.227,True,False,True,,RU14,0.03,10.1093/mnras/stu780,True,LAB,False,4889.102,VIS,0.622,DEEPGRADED,1.0
gf_056948,pk_ba2bbb7a824d,26,1.0,Fe I,4890.755,2.876,1,-0.38,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.386,,-0.394,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4890.755,VIS,0.858,DEEPGRADED,1.0
gf_056966,pk_4ff10d7f7683,26,1.0,Fe I,4896.439,3.884,1,-1.89,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.89,,-2.05,True,False,True,,DH14,0.05,10.1088/0067-0049/215/2/23,True,LAB,False,4896.439,VIS,0.343,GRADED,1.0
gf_056975,pk_a73b17f674e2,26,1.0,Fe I,4903.31,2.882,1,-0.89,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-0.903,,-0.926,True,False,True,,RU14,0.02,10.1093/mnras/stu780,True,LAB,False,4903.31,VIS,0.813,DEEPGRADED,1.0
gf_056979,pk_c1d3b131e586,26,1.0,Fe I,4905.133,3.929,1,-1.73,PRIMARY LAB Ruffoni2014,,regions(VALD3),lab_rya945,-1.73,-2.05,-2.05,True,True,True,0.32,RU14,0.1,10.1093/mnras/stu780,True,LAB,False,4905.133,VIS,0.324,GRADED,1.0
gf_056987,pk_73210aef805a,26,1.0,Fe I,4907.732,3.43,1,-1.7,PRIMARY LAB DenHartog2014,,regions(VALD3),lab_rya945,-1.7,-1.84,-1.84,True,True,True,0.14,DH14,0.03,10.1088/0067-0049/215/2/23,True,LAB,False,4907.732,VIS,0.591,GRADED,1.0
gf_056999,pk_6762ff91f00c,26,1.0,Fe I,4910.017,3.397,1,-1.28,PRIMARY LAB DenHartog2014,,synth(GES),lab_rya945,-1.31,,-1.404,True,False,True,,DH14,0.02,10.1088/0067-0049/215/2/23,True,LAB,False,4910.017,VIS,0.682,DEEPGRADED,1.0
gf_057005,pk_4944cf44f12a,26,1.0,Fe I,4911.529,4.256,1,-1.84,PRIMARY LAB Ruffoni2014,,synth(GES),lab_rya945,-1.84,,-2.24,True,False,True,,RU14,0.08,10.1093/mnras/stu780,True,LAB,False,4911.529,VIS,0.136,GRADED,1.0
